"Sample name","Sample accession","Lane name","Lane accession"
203470_aEPEC,ERS085437,7553_7#68,ERR124660
204263_aEPEC,ERS085438,7553_7#69,ERR124661
402138_aEPEC,ERS085439,7553_7#70,ERR124662
503537_aEPEC,ERS085440,7553_7#71,ERR124663
504925_aEPEC,ERS085441,7553_7#72,ERR124664
E2393CFn,ERS077768,7554_4#13,ERR119572
E2395CFn,ERS077769,7554_4#14,ERR119573
E2404CFn,ERS077770,7554_4#15,ERR119574
E2405CFn,ERS077771,7554_4#16,ERR119575
E3015CFn,ERS077773,7554_4#18,ERR119577
E4134CFn,ERS077774,7554_4#19,ERR119578
100269_aEPEC,ERS085334,7748_7#1,ERR134513
100554_aEPEC,ERS085335,7748_7#2,ERR134514
100600_aEPEC,ERS085336,7748_7#3,ERR134515
102298_aEPEC,ERS085337,7748_7#4,ERR134516
102328_aEPEC,ERS085338,7748_7#5,ERR134517
102485_aEPEC,ERS085339,7748_7#6,ERR134518
200135_aEPEC,ERS085340,7748_7#7,ERR134519
200439_aEPEC,ERS085341,7748_7#8,ERR134520
201214_aEPEC,ERS085342,7748_7#9,ERR134521
201534_aEPEC,ERS085343,7748_7#10,ERR134522
202423_aEPEC,ERS085344,7748_7#11,ERR134523
202443_aEPEC,ERS085345,7748_7#12,ERR134524
202453_aEPEC,ERS085346,7748_7#13,ERR134525
202833_aEPEC,ERS085347,7748_7#14,ERR134526
202973_aEPEC,ERS085348,7748_7#15,ERR134527
204302_aEPEC,ERS085349,7748_7#16,ERR134528
300086_aEPEC,ERS085350,7748_7#17,ERR134529
300711_aEPEC,ERS085351,7748_7#18,ERR134530
300795_aEPEC,ERS085352,7748_7#19,ERR134531
402048_aEPEC,ERS085353,7748_7#20,ERR134532
402099_aEPEC,ERS085354,7748_7#21,ERR134533
402248_aEPEC,ERS085355,7748_7#22,ERR134534
402654_aEPEC,ERS085356,7748_7#23,ERR134535
402770_aEPEC,ERS085357,7748_7#24,ERR134536
403128_aEPEC,ERS085358,7748_7#25,ERR134537
403308_aEPEC,ERS085359,7748_7#26,ERR134538
500275_aEPEC,ERS085360,7748_7#27,ERR134539
500618_aEPEC,ERS085361,7748_7#28,ERR134540
500858_aEPEC,ERS085362,7748_7#29,ERR134541
500864_aEPEC,ERS085363,7748_7#30,ERR134542
501029_aEPEC,ERS085364,7748_7#31,ERR134543
503028_aEPEC,ERS085365,7748_7#32,ERR134544
503225_aEPEC,ERS085366,7748_7#33,ERR134545
503459_aEPEC,ERS085367,7748_7#34,ERR134546
503662_aEPEC,ERS085368,7748_7#35,ERR134547
504225_aEPEC,ERS085369,7748_7#36,ERR134548
504300_aEPEC,ERS085370,7748_7#37,ERR134549
504449_aEPEC,ERS085371,7748_7#38,ERR134550
504647_aEPEC,ERS085372,7748_7#39,ERR134551
504821_aEPEC,ERS085373,7748_7#40,ERR134552
504888_aEPEC,ERS085374,7748_7#41,ERR134553
602370_aEPEC,ERS085375,7748_7#42,ERR134554
700337_aEPEC,ERS085376,7748_7#43,ERR134555
700495_aEPEC,ERS085377,7748_7#44,ERR134556
702161_aEPEC,ERS085379,7748_7#46,ERR134558
703258_aEPEC,ERS085380,7748_7#47,ERR134559
703975_aEPEC,ERS085381,7748_7#48,ERR134560
200708_aEPEC,ERS085382,7790_1#49,ERR137782
200758_aEPEC,ERS085383,7790_1#50,ERR137783
201381_aEPEC,ERS085384,7790_1#51,ERR137784
