"Lane","Phylogroup"
"28099_2_259","A"
"28099_2_263","A"
"28099_2_283","B1"
"28099_2_287","B2"
"28099_2_291","A"
"28099_2_295","C"
"28099_2_299","B1"
"28099_2_3","A"
"28099_2_304","A"
"28099_2_308","Unknown"
"28099_2_316","C"
"28099_2_32","B1"
"28099_2_320","B2"
"28099_2_36","A"
"28099_2_40","D"
"28099_2_44","A"
"28099_2_48","A"
"28099_2_56","B2"
"28099_2_60","A"
"28099_2_64","A"
"28099_2_76","A"
"28099_2_8","A"
"28099_2_80","B2"
"28099_2_84","A"
"28099_2_88","B1"
"28099_2_92","B1"
"28099_2_96","B2"
"28099_2_97","A"
"28099_1_237","B2"
"28099_1_315","A"
"28099_1_329","A"
"28099_1_335","B2"
"28099_1_339","B1"
"28099_1_347","A"
"28099_2_101","A"
"28099_2_138","B2"
"28099_2_154","B2"
"28099_2_16","B2"
"28099_2_174","B2"
"28099_2_178","A"
"28099_2_182","B2"
