"Sample name","Sample accession","Lane name","Lane accession"
SKP000887,ERS012053,5299_7#8,ERR026000
SKP000888,ERS012054,5299_7#9,ERR026001
SKP000889,ERS012055,5299_7#10,ERR025993
2512STDY5462676,ERS214285,9776_6#3,ERR315105
2512STDY5462679,ERS214288,9776_6#6,ERR315108
2512STDY5462682,ERS214291,9776_6#9,ERR315111
2512STDY5462683,ERS214292,9776_6#10,ERR315112
2512STDY5462686,ERS214295,9776_6#13,ERR315115
2512STDY5462689,ERS214298,9776_6#16,ERR315118
2512STDY5462692,ERS214301,9776_6#19,ERR315121
2512STDY5462694,ERS214303,9776_6#21,ERR315123
2512STDY5462697,ERS214306,9776_6#24,ERR315126
2512STDY5462700,ERS214309,9776_6#27,ERR315129
2512STDY5462705,ERS214314,9776_6#32,ERR315134
2512STDY5462708,ERS214317,9776_6#35,ERR315137
2512STDY5462711,ERS214320,9776_6#38,ERR315140
2512STDY5462713,ERS214322,9776_6#40,ERR315142
2512STDY5462716,ERS214325,9776_6#43,ERR315145
2512STDY5462719,ERS214328,9776_6#46,ERR315148
2512STDY5462722,ERS214331,9776_6#49,ERR315151
2512STDY5462724,ERS214333,9776_6#51,ERR315153
2512STDY5462727,ERS214336,9776_6#54,ERR315156
2512STDY5462730,ERS214339,9776_6#57,ERR315159
2512STDY5462735,ERS214344,9776_6#62,ERR315164
2512STDY5462738,ERS214347,9776_6#65,ERR315167
2512STDY5462741,ERS214350,9776_6#68,ERR315170
2512STDY5462743,ERS214352,9776_6#70,ERR315172
2512STDY5462746,ERS214355,9776_6#73,ERR315175
2512STDY5462749,ERS214358,9776_6#76,ERR315178
2512STDY5462752,ERS214361,9776_6#79,ERR315181
2512STDY5462757,ERS214366,9776_6#84,ERR315186
2512STDY5462760,ERS214369,9776_6#87,ERR315189
2512STDY5462765,ERS214374,9776_6#92,ERR315194
2512STDY5462768,ERS214377,9776_6#95,ERR315197
2512STDY5468723,ERS219102,9870_4#2,ERR319499
2512STDY5468726,ERS219105,9870_4#5,ERR319502
2512STDY5468729,ERS219108,9870_4#8,ERR319505
2512STDY5468732,ERS219111,9870_4#11,ERR319508
2512STDY5468735,ERS219114,9870_4#14,ERR319511
2512STDY5468738,ERS219117,9870_4#17,ERR319514
2512STDY5468743,ERS219122,9870_4#22,ERR319519
2512STDY5468746,ERS219125,9870_4#25,ERR319522
2512STDY5468749,ERS219128,9870_4#28,ERR319525
2512STDY5468751,ERS219130,9870_4#30,ERR319527
2512STDY5468754,ERS219133,9870_4#33,ERR319530
2512STDY5468757,ERS219136,9870_4#36,ERR319533
2512STDY5468760,ERS219139,9870_4#39,ERR319536
2512STDY5468762,ERS219141,9870_4#41,ERR319538
2512STDY5468765,ERS219144,9870_4#44,ERR319541
2512STDY5468768,ERS219147,9870_4#47,ERR319544
2512STDY5468773,ERS219152,9870_4#52,ERR319549
2512STDY5468776,ERS219155,9870_4#55,ERR319552
2512STDY5468779,ERS219158,9870_4#58,ERR319555
2512STDY5468781,ERS219160,9870_4#60,ERR319557
2512STDY5468784,ERS219100,9870_4#63,ERR319560
2512STDY5468787,ERS219165,9870_4#66,ERR319563
2512STDY5468790,ERS219168,9870_4#69,ERR319566
2512STDY5468792,ERS219170,9870_4#71,ERR319568
2512STDY5468795,ERS219173,9870_4#74,ERR319571
2512STDY5468798,ERS219176,9870_4#77,ERR319574
2512STDY5468803,ERS219181,9870_4#82,ERR319579
2512STDY5468806,ERS219184,9870_4#85,ERR319582
2512STDY5468809,ERS219187,9870_4#88,ERR319585
2512STDY5468811,ERS219189,9870_4#90,ERR319587
2512STDY5468814,ERS219192,9870_4#93,ERR319590
50230,ERS246996,10026_1#50,ERR323219
50334,ERS246999,10026_1#53,ERR323222
51398,ERS247002,10026_1#56,ERR323225
